surface	before	after	status
banana_protected_main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
banana_stage64	5fe118d30fc501f8444298d2544b8e9c6f8d24e2	5fe118d30fc501f8444298d2544b8e9c6f8d24e2	pass
custom_executor_tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass
ncnn_head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass
ncnn_tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass
ncnn_dirty_diff_sha256	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass
ncnn_dirty_path_count	3	3	pass_preexisting
