ref	local	github	gitlab	status
refs/heads/main	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	pass
refs/heads/riscy/k1x-yolo26-hardening-001	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	pass
refs/heads/riscy/k1x-yolo26-hardening-release-001	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
refs/heads/riscy/k1x-yolo26-stage65a-pub2-evidence-001	c1d9052ea55f10075033e03b5b0e53e99ecd60fe	c1d9052ea55f10075033e03b5b0e53e99ecd60fe	c1d9052ea55f10075033e03b5b0e53e99ecd60fe	pass
refs/tags/v2.1.2-riscy.1	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass
refs/tags/v2.1.2-riscy.1^{}	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
refs/heads/riscy/k1x-yolo26-stage65a-pub3-evidence-001	recorded-after-evidence-commit	recorded-in-result-packet	recorded-in-result-packet	non-self-referential
