filename	size_bytes	sha256	sha512	download_mode	status
SBOM.spdx.json	27746	9f84b045308562da97c6e3a611000ac3e08c8d59564945eb6f36e2e4b7b95c41	7fb1312b9b30b9643c861cca965c96345242d8c33b3c72b1f51412dcdb4d5de71cc5b222dcea99cda4d901747f54f54891c54325cfe9a7d805f9cb229684a1b1	anonymous	pass
SHA256SUMS	741	deba29342aa87698ceb71ed53f2b78931aaa838795addea9017b8675c7eeb87e	ad25327f8b1a6dce831d4fee577107b4d893ef7b636607ae908c15d75e358ae3840eb12b32946c313e7c96f554229f1311569993c19f60ff5dde62df0c20f7e9	anonymous	pass
SHA512SUMS	1253	4b3d61660d174f51b214d7768dfd3bdacad16c3c1203ee39ec8e41c9d2b980ac	9d391c130aa7d37dacce84796e958e649f54b770c77632bb4cf528d75d725e4b49c10e6df01727d5967e19ff968d0f6ae27f4706811cf06728ef7996e619a81b	anonymous	pass
constraints-py312.txt	763	66be1756ddeb07908f7659b2a176f8d21d736bf1687842a2b57b2d273e23689a	a3a1c96f2711f41c5d4b616c1d660a95cfb075f3c6ec595f735e085be03eaff4d5e06afc7966de6999ba702594d2a8b55c5606e2ddce0db1fdd27c1e8522d95b	anonymous	pass
dependency-lock-py312.txt	763	66be1756ddeb07908f7659b2a176f8d21d736bf1687842a2b57b2d273e23689a	a3a1c96f2711f41c5d4b616c1d660a95cfb075f3c6ec595f735e085be03eaff4d5e06afc7966de6999ba702594d2a8b55c5606e2ddce0db1fdd27c1e8522d95b	anonymous	pass
release-manifest.json	3712	002ac6cd943ce4fde3056ff6b888368ac134963327ec0e84aad4dc69cebc5724	4aadf0fd964d392b24e2cd4a8bc40a7cc469932179d3e616699edbb8248cb1e15845f49d4a638b72939485a36ac0c7f61d06fb7137b5bdd3ecb2e4b7430686a9	anonymous	pass
wheelhouse-manifest-py312.tsv	5548	bb22fc426dad5fe3ec3abecf23fab26cd58967e7bfd62bc3162ed86435cfa54e	8044cf7bbf3d9ea3424aeb397ed8b325255a59c238bc9e3e95aad24d007ad22d4ed78d1cf9b4be558977953e509d53c1f4c00eab2d3acb80ffe4525b6a018eac	anonymous	pass
xslim-2.1.2+riscy.1-py3-none-any.whl	337896	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	a6ef732f389ca89c5188888ea047167bc2d5ee7602c64c3b3ad40d19667280b55c4afcbcd8cca2247abdfed917d9feeda3fbb43387f6ff6b07ae57163d36b96e	anonymous	pass
xslim-2.1.2+riscy.1-source.tar.gz	371802	ddec1d9935e38b3e6f63ffdc202db13749dda730c93071c25192478ae88771ab	5592d2369e490d85781fbfd12c2e67daced1791a2edff918dea8f1942d2b011ccb765172db1f0cf8d374c753f246e07254356b5daeff5615a6a3e64e2d2b89ed	anonymous	pass
xslim-2.1.2+riscy.1.tar.gz	347472	9db75789d1f89f2558c6a10a3a41548724dac0a97cd34d3a8a52c251b50662fa	30190ed4bddaba06b666a9ea5fbe47af523b97819bf7aec9bd56f82100d678a3de7b61e727f2c89a1db2e1c1d04289ca0f335543591ce85356be17196a7f7a26	anonymous	pass
