artifact	run_a_sha256	run_b_sha256	byte_identical	decision
wheel	e5c14c60ac6545a3b56f9921cf7fd8a4e191e36085b45b29b2e8a6906eab3116	e5c14c60ac6545a3b56f9921cf7fd8a4e191e36085b45b29b2e8a6906eab3116	true	selected
raw_setuptools_sdist	5dd40a7378265337160de72d89e20e09a5747a050bd8e39729dff24df2360411	10aaa63c53e4eb8ec95bc3825b8b23d3c0e3ea6d8a4001e86d3534ee24bf4c44	false	rejected-build-time-tar-gzip-metadata
raw_sdist_content_manifest	6aab2687f325609823510e1571dd8b7c79aeaf69b0ffe85abe63344768304846	6aab2687f325609823510e1571dd8b7c79aeaf69b0ffe85abe63344768304846	true	content-identical
normalized_sdist	2913550e29f46816487109d2954465d67cbe6dd342587830ada94b866f8aaaa9	2913550e29f46816487109d2954465d67cbe6dd342587830ada94b866f8aaaa9	true	selected
source_archive	6d57adcd41ae9a0360fea47c8d8611dd6983a8d0cb974b68f1bcce39bd9da501	6d57adcd41ae9a0360fea47c8d8611dd6983a8d0cb974b68f1bcce39bd9da501	true	selected
