lane	model	model_sha256	output_sha256	host_semantic	max_abs_difference	classification
UPSTREAM_9A33	conv_reducemax_two_input_opset18.onnx	9ecc0cf608d2083a423bc9e9af0232355a8f72773a11c8247139ef15dc2925b6	eda0a1ee01d225234b91de5269d0e8b18e6136d5e2bb98414cd0e3b70ee7f451	pass	0.014914602041244507	fixed-with-documented-fp32-tolerance
UPSTREAM_9A33	reducemax_attr_opset13.onnx	094c0b0e6275d3b2a6f809e0e465e4432e0bd10a6f4a83353db5cd9025e11cd6	bc0310b76770c38e50c6754ab626b89ff12f1cca80662b239153213a2d3c3e78	pass	0.0	fixed-exact
UPSTREAM_9A33	reducemax_two_input_opset18.onnx	ce66d2686448dc444dbbe6892f8fc624efd878122e095159a9736a0f2c66dcb3	5b4b98608f9bb5f66ef555be1912f15e8a032efe5c77b0d4a643eaf3457b4ad2	pass	0.0	fixed-exact
